Cloudy,Humid,Temp,rained_yesterday,raining_today
1,1,0,0,1
1,1,1,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,1,0,1
1,1,0,0,1
1,1,0,1,1
1,1,0,0,1
1,1,0,1,1
1,1,1,1,1
1,1,0,0,1
1,1,0,0,1
1,1,1,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,1,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,1,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,1,1,0
1,1,1,0,0
1,1,0,1,0
1,0,0,0,1
1,0,1,0,1
1,0,0,1,1
1,0,0,0,1
1,0,0,0,0
1,0,1,0,0
1,0,1,0,0
1,0,0,0,0
1,0,1,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,1,0,0
1,0,1,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,1,0
1,0,0,0,0
1,0,0,0,0
1,0,1,0,0
1,0,0,0,0
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
0,0,1,0,1
0,1,1,0,1
0,0,1,1,1
0,0,1,0,1
0,1,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,0,0,1,1
0,1,0,1,1
0,0,0,0,1
0,1,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,1,0
0,1,0,0,0
