Breed Name,Easy To Train,Kid-Friendly,High-Energy,Good For Novice Owners
Afador,False,False,True,False
Affenhuahua,False,False,True,True
Affenpinscher,False,False,True,True
Afghan Hound,False,True,True,False
Airedale Terrier,True,True,True,False
Akbash,False,True,False,False
Akita,False,False,True,False
Akita Chow,False,False,True,False
Akita Pit,False,False,False,False
Akita Shepherd,True,False,False,False
Alaskan Klee Kai,True,False,True,False
Alaskan Malamute,True,False,True,False
American Bulldog,True,True,True,False
American English Coonhound,True,True,True,False
American Eskimo Dog,True,True,True,True
American Foxhound,False,True,True,False
American Hairless Terrier,False,True,True,False
American Leopard Hound,True,True,True,True
American Pit Bull Terrier,True,True,True,False
American Pugabull,False,True,True,False
American Staffordshire Terrier,True,True,False,False
American Water Spaniel,True,True,True,False
Anatolian Shepherd Dog,True,False,False,False
Appenzeller Sennenhunde,True,True,True,False
Auggie,True,True,True,False
Aussiedoodle,True,True,True,False
Aussiepom,True,False,True,False
Australian Cattle Dog,True,False,True,False
Australian Kelpie,True,False,True,False
Australian Retriever,True,True,True,True
Australian Shepherd,True,True,True,False
Australian Shepherd Husky,True,False,True,False
Australian Shepherd Lab Mix,True,True,True,False
Australian Shepherd Pit Bull Mix,True,True,True,False
Australian Stumpy Tail Cattle Dog,False,False,True,False
Australian Terrier,False,False,True,False
Azawakh,False,False,False,False
Barbet,True,True,True,False
Basenji,False,True,True,True
Bassador,False,False,False,False
Basset Fauve de Bretagne,False,True,True,True
Basset Hound,False,True,False,True
Basset Retriever,True,True,True,False
Bavarian Mountain Scent Hound,False,True,True,False
Beabull,False,True,False,False
Beagle,False,True,True,False
Beaglier,False,True,False,True
Bearded Collie,True,True,True,True
Bedlington Terrier,False,True,True,True
Belgian Laekenois,False,True,True,False
Belgian Malinois,True,True,True,False
Belgian Sheepdog,True,True,True,False
Belgian Tervuren,True,False,True,False
Bergamasco Sheepdog,False,True,True,True
Berger Picard,True,True,True,True
Bernedoodle,True,True,True,False
Bernese Mountain Dog,True,True,True,False
Bichon Frise,True,True,True,True
Biewer Terrier,False,True,True,False
Black and Tan Coonhound,False,True,True,False
Black Mouth Cur,False,True,True,False
Black Russian Terrier,True,True,False,False
Bloodhound,False,True,True,False
Blue Lacy,True,False,True,False
Bluetick Coonhound,False,True,True,False
Bocker,True,True,True,False
Boerboel,False,True,False,False
Boglen Terrier,False,True,True,True
Bohemian Shepherd,True,True,True,False
Bolognese,True,True,False,False
Borador,True,True,True,False
Border Collie,True,True,True,False
Border Sheepdog,True,True,True,False
